"STATION","NAME","DATE","TAVG","TMAX","TMIN","TOBS"
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-01",,"40","33",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-02",,"51","36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-03",,"38","34",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-04",,"43","35",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-05",,"42","36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-06",,"41","34",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-07",,"41","30",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-08",,"37","27",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-09",,"37","24",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-10",,"41","29",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-11",,"37","28",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-12",,"44","33",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-13",,"43","35",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-14",,"49","39",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-15",,"46","38",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-16",,"47","37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-17",,"44","35",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-18",,"45","37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-19",,"43","35",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-20",,"40","27",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-21",,"43","25",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-22",,"45","36",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-23",,"36","24",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-24",,"32","22",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-25",,"37","23",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-26",,"34","31",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-27",,"37","31",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-28",,"34","20",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-29",,"25","14",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-30",,"32","17",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-01-31",,"26","20",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-01",,"34","22",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-02",,"33","30",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-03",,"37","29",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-04",,"43","31",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-05",,"47","37",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-06",,"44","34",
"USW00094728","NY CITY CENTRAL PARK, NY US","2021-02-07",,"40","24",
